state_code,district_name_en,district_name_hi,lgd_district_code,source,source_version
,Agra,आगरा,,pramaan-db-baseline,2026-09-11
,Aligarh,अलीगढ़,,pramaan-db-baseline,2026-09-11
,Ambedkar Nagar,अम्बेडकर नगर,,pramaan-db-baseline,2026-09-11
,Amethi,अमेठी,,pramaan-db-baseline,2026-09-11
,Amroha,अमरोहा,,pramaan-db-baseline,2026-09-11
,Auraiya,औरैया,,pramaan-db-baseline,2026-09-11
,Ayodhya,अयोध्या,,pramaan-db-baseline,2026-09-11
,Azamgarh,आजमगढ़,,pramaan-db-baseline,2026-09-11
,Baghpat,बागपत,,pramaan-db-baseline,2026-09-11
,Bahraich,बहराइच,,pramaan-db-baseline,2026-09-11
,Ballia,बलिया,,pramaan-db-baseline,2026-09-11
,Balrampur,बलरामपुर,,pramaan-db-baseline,2026-09-11
,Banda,बाँदा,,pramaan-db-baseline,2026-09-11
,Barabanki,बाराबंकी,,pramaan-db-baseline,2026-09-11
,Bareilly,बरेली,,pramaan-db-baseline,2026-09-11
,Basti,बस्ती,,pramaan-db-baseline,2026-09-11
,Bhadohi (Sant Ravidas Nagar),भदोही (संत रविदास नगर),,pramaan-db-baseline,2026-09-11
,Bijnor,बिजनौर,,pramaan-db-baseline,2026-09-11
,Budaun,बदायूं,,pramaan-db-baseline,2026-09-11
,Bulandshahr,बुलंदशहर,,pramaan-db-baseline,2026-09-11
,Chandauli,चंदौली,,pramaan-db-baseline,2026-09-11
,Chitrakoot,चित्रकूट,,pramaan-db-baseline,2026-09-11
,Deoria,देवरिया,,pramaan-db-baseline,2026-09-11
,Etah,एटा,,pramaan-db-baseline,2026-09-11
,Etawah,इटावा,,pramaan-db-baseline,2026-09-11
,Farrukhabad,फर्रुखाबाद,,pramaan-db-baseline,2026-09-11
,Fatehpur,फतेहपुर,,pramaan-db-baseline,2026-09-11
,Firozabad,फिरोजाबाद,,pramaan-db-baseline,2026-09-11
,Gautam Buddha Nagar,गौतम बुद्ध नगर,,pramaan-db-baseline,2026-09-11
,Ghaziabad,गाज़ियाबाद,,pramaan-db-baseline,2026-09-11
,Ghazipur,गाज़ीपुर,,pramaan-db-baseline,2026-09-11
,Gonda,गोंडा,,pramaan-db-baseline,2026-09-11
,Gorakhpur,गोरखपुर,,pramaan-db-baseline,2026-09-11
,Hamirpur,हमीरपुर,,pramaan-db-baseline,2026-09-11
,Hapur,हापुड़,,pramaan-db-baseline,2026-09-11
,Hardoi,हरदोई,,pramaan-db-baseline,2026-09-11
,Hathras,हाथरस,,pramaan-db-baseline,2026-09-11
,Jalaun,जालौन,,pramaan-db-baseline,2026-09-11
,Jaunpur,जौनपुर,,pramaan-db-baseline,2026-09-11
,Jhansi,झांसी,,pramaan-db-baseline,2026-09-11
,Kannauj,कन्नौज,,pramaan-db-baseline,2026-09-11
,Kanpur Dehat,कानपुर देहात,,pramaan-db-baseline,2026-09-11
,Kanpur Nagar,कानपुर नगर,,pramaan-db-baseline,2026-09-11
,Kasganj,कासगंज,,pramaan-db-baseline,2026-09-11
,Kaushambi,कौशाम्बी,,pramaan-db-baseline,2026-09-11
,Kushinagar,कुशीनगर,,pramaan-db-baseline,2026-09-11
,Lakhimpur Kheri,लखीमपुर खीरी,,pramaan-db-baseline,2026-09-11
,Lalitpur,ललितपुर,,pramaan-db-baseline,2026-09-11
,Lucknow,लखनऊ,,pramaan-db-baseline,2026-09-11
,Maharajganj,महराजगंज,,pramaan-db-baseline,2026-09-11
,Mahoba,महोबा,,pramaan-db-baseline,2026-09-11
,Mainpuri,मैनपुरी,,pramaan-db-baseline,2026-09-11
,Mathura,मथुरा,,pramaan-db-baseline,2026-09-11
,Mau,मऊ,,pramaan-db-baseline,2026-09-11
,Meerut,मेरठ,,pramaan-db-baseline,2026-09-11
,Mirzapur,मिर्जापुर,,pramaan-db-baseline,2026-09-11
,Moradabad,मुरादाबाद,,pramaan-db-baseline,2026-09-11
,Muzaffarnagar,मुज़फ्फरनगर,,pramaan-db-baseline,2026-09-11
,Pilibhit,पीलीभीत,,pramaan-db-baseline,2026-09-11
,Pratapgarh,प्रतापगढ़,,pramaan-db-baseline,2026-09-11
,Prayagraj,प्रयागराज,,pramaan-db-baseline,2026-09-11
,Raebareli,रायबरेली,,pramaan-db-baseline,2026-09-11
,Rampur,रामपुर,,pramaan-db-baseline,2026-09-11
,Saharanpur,सहारनपुर,,pramaan-db-baseline,2026-09-11
,Sambhal,सम्भल,,pramaan-db-baseline,2026-09-11
,Sant Kabir Nagar,संत कबीर नगर,,pramaan-db-baseline,2026-09-11
,Shahjahanpur,शाहजहाँपुर,,pramaan-db-baseline,2026-09-11
,Shamli,शामली,,pramaan-db-baseline,2026-09-11
,Shrawasti,श्रावस्ती,,pramaan-db-baseline,2026-09-11
,Siddharth Nagar,सिद्धार्थ नगर,,pramaan-db-baseline,2026-09-11
,Sitapur,सीतापुर,,pramaan-db-baseline,2026-09-11
,Sonbhadra,सोनभद्र,,pramaan-db-baseline,2026-09-11
,Sultanpur,सुलतानपुर,,pramaan-db-baseline,2026-09-11
,Unnao,उन्नाव,,pramaan-db-baseline,2026-09-11
,Varanasi,वाराणसी,,pramaan-db-baseline,2026-09-11
